,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Наименование,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Центральный федеральный округ,40 248 674,40 219 457,40 269 144,40 319 531,40 379 696,40 336 196,40 166 110,39 972 538,39 758 615,39 516 659,39 262 679,39 017 044,38 766 289,38 543 318,38 390 287,38 299 035,38 236 673,38 196 721,38 146 181,38 076 537,38 004 571,37 955 941,38 007 670,38 121 775,38 201 350,38 269 388,38 297 365,38 258 682,38 211 090,38 151 926,38 101 745,38 111 540,38 136 754,38 146 768,38 086 684
г. Москва,13 212 044,13 126 990,13 059 651,12 997 272,12 963 013,12 887 153,12 745 157,12 571 383,12 426 540,12 278 053,12 109 770,11 942 945,11 759 124,11 604 910,11 461 631,11 331 896,11 234 241,11 139 139,11 007 595,10 825 095,10 631 055,10 461 292,10 328 404,10 192 050,10 023 556,9 858 089,9 693 767,9 507 765,9 328 980,9 166 094,9 076 032,9 066 310,9 066 918,9 042 611,8 948 775
Московская область,8 713 497,8 621 498,8 566 996,8 489 558,8 404 864,8 303 032,8 160 757,8 024 182,7 882 899,7 736 019,7 593 006,7 452 612,7 314 618,7 174 980,7 065 211,6 991 111,6 926 692,6 871 095,6 815 337,6 760 297,6 704 033,6 644 102,6 613 019,6 611 296,6 620 819,6 640 830,6 655 334,6 657 430,6 658 948,6 665 991,6 674 551,6 690 811,6 711 729,6 719 677,6 710 213
Воронежская область,2 266 731,2 279 349,2 293 949,2 310 877,2 327 739,2 337 457,2 340 861,2 343 280,2 341 760,2 338 257,2 334 632,2 332 889,2 332 807,2 333 752,2 334 852,2 336 946,2 341 705,2 349 109,2 357 358,2 362 922,2 366 194,2 370 959,2 385 788,2 409 742,2 431 838,2 449 944,2 464 426,2 477 551,2 487 720,2 492 826,2 491 599,2 483 459,2 473 030,2 468 202,2 470 301
Белгородская область,1 491 342,1 507 593,1 525 496,1 540 947,1 549 193,1 551 920,1 551 910,1 554 224,1 553 965,1 551 106,1 547 659,1 543 725,1 539 267,1 534 478,1 532 067,1 529 019,1 523 180,1 517 127,1 512 934,1 511 688,1 512 761,1 512 879,1 510 025,1 507 555,1 504 346,1 498 286,1 490 345,1 482 212,1 473 060,1 461 246,1 444 738,1 427 144,1 412 346,1 401 467,1 392 730
Тульская область,1 463 965,1 476 305,1 489 080,1 502 152,1 513 299,1 522 369,1 529 328,1 533 698,1 534 873,1 535 617,1 537 144,1 540 973,1 546 893,1 550 238,1 557 492,1 570 500,1 582 152,1 594 048,1 607 666,1 623 486,1 640 500,1 659 506,1 681 909,1 706 842,1 731 523,1 754 660,1 774 002,1 789 335,1 803 122,1 814 714,1 823 194,1 830 358,1 836 401,1 844 010,1 852 749
Владимирская область,1 303 939,1 317 726,1 333 872,1 350 639,1 366 384,1 376 582,1 384 819,1 394 996,1 402 656,1 408 811,1 415 142,1 421 573,1 429 246,1 437 326,1 445 451,1 453 855,1 462 340,1 471 302,1 481 157,1 492 025,1 503 585,1 514 814,1 529 627,1 548 625,1 566 780,1 583 833,1 597 537,1 607 785,1 618 190,1 627 109,1 632 275,1 638 245,1 645 084,1 651 106,1 655 763
Тверская область,1 195 160,1 205 465,1 218 611,1 233 938,1 249 406,1 261 790,1 273 914,1 287 871,1 298 683,1 308 195,1 318 823,1 328 694,1 337 546,1 345 945,1 357 707,1 370 372,1 381 183,1 392 899,1 407 059,1 423 942,1 440 218,1 456 696,1 478 524,1 505 510,1 531 687,1 555 224,1 575 181,1 591 551,1 605 807,1 616 856,1 624 324,1 633 530,1 644 359,1 655 855,1 664 673
Ярославская область,1 183 866,1 191 081,1 200 121,1 213 650,1 228 638,1 239 717,1 247 850,1 255 397,1 260 496,1 262 927,1 264 839,1 266 845,1 268 463,1 270 070,1 275 547,1 283 105,1 289 329,1 296 250,1 306 389,1 321 306,1 338 427,1 355 714,1 371 396,1 386 074,1 399 921,1 412 769,1 424 056,1 433 099,1 442 150,1 449 750,1 454 820,1 460 564,1 466 832,1 471 627,1 472 990
